INSTNM,CITY,STABBR,ZIP,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,BOOKSUPPLY,NPT4_PUB,NPT4_PRIV,PFTFAC,ADM_RATE,C100_4,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10
Uintah Basin Technical College,Roosevelt,UT,84066,1,nan,nan,nan,nan,600.0,nan,nan,nan,nan,nan,nan,nan,18344.0,38702.0
Utah State University,Logan,UT,84322-1400,1,19886.0,nan,8764.0,23452.0,nan,820.0,13257.0,nan,0.9692,0.9104,0.2069,38826.0,42685.0,50432.0
Utah Valley University,Orem,UT,84058-5999,1,13597.0,nan,5906.0,16806.0,nan,588.0,9955.0,nan,0.436,nan,0.1277,39359.0,45135.0,52096.0
Salt Lake Community College,Salt Lake City,UT,84123,1,11068.0,nan,3989.0,12709.0,nan,700.0,6197.0,nan,0.2255,nan,nan,35969.0,39346.0,43576.0
University of Utah,Salt Lake City,UT,84112-9008,1,20303.0,nan,8615.0,27220.0,nan,1322.0,13572.0,nan,0.9739,0.794,0.342,47996.0,53998.0,60590.0
Weber State University,Ogden,UT,84408-1001,1,16622.0,nan,5956.0,16138.0,nan,1400.0,11647.0,nan,0.9536,nan,0.1626,41013.0,45892.0,51840.0
Westminster College,Salt Lake City,UT,84105,2,49060.0,nan,37960.0,37960.0,nan,1000.0,nan,24503.0,1.0,0.8745,0.5693,45904.0,53295.0,56565.0
Bennington College,Bennington,VT,05201-6003,2,75972.0,nan,58124.0,58124.0,nan,1000.0,nan,30741.0,0.488,0.5999,0.6126,29730.0,40902.0,44196.0
Castleton University,Castleton,VT,05735,1,24841.0,nan,13044.0,30012.0,nan,1000.0,17740.0,nan,1.0,0.8831,0.4555,37044.0,42360.0,46876.0
Champlain College,Burlington,VT,05401,2,60478.0,nan,42784.0,42784.0,nan,1000.0,nan,33224.0,1.0,0.8515,0.5719,44082.0,50632.0,60024.0
Community College of Vermont,Montpelier,VT,05602,1,15502.0,nan,6920.0,13640.0,nan,1000.0,10061.0,nan,nan,nan,nan,29911.0,31776.0,38474.0
Goddard College,Plainfield,VT,05667-9432,2,33048.0,nan,18210.0,18210.0,nan,800.0,nan,23794.0,1.0,0.8387,0.375,30382.0,29588.0,36670.0
Northern Vermont University,Johnson,VT,05656-9464,1,25051.0,nan,12804.0,26892.0,nan,1000.0,15906.0,nan,1.0,0.7577,0.3184,31235.0,35303.0,40580.0
Middlebury College,Middlebury,VT,05753,2,74248.0,nan,58316.0,58316.0,nan,1000.0,nan,26525.0,0.8967,0.2204,0.8672,47424.0,60883.0,65933.0
